%%iter, pr,gemini,gg_l,gg_c ,gpb 
0,  0.99, 1,    0.53, 0.47, 1
1,  0.58, 0.65, 0.22, 0.71, 0.29
2,  0.36, 0.64, 0.27, 0.68, 0.10
3,  0.24, 0.63, 0.32, 0.63, 0.15
4,  0.15, 0.63, 0.29, 0.64, 0.14
5,  0.09, 0.64, 0.29, 0.64, 0.13
6,  0.06, 0.64, 0.26, 0.67, 0.13
7,  0.04, 0.62, 0.29, 0.65, 0.08
8,  0.03, 0.64, 0.29, 0.62, 0.13
9,  0.03, 0.63, 0.29, 0.64, 0.12
10, 0.02, 0.63, 0.30, 0.65, 0.07
11, 0.02, 0.62, 0.29, 0.65, 0.10
12, 0.02, 0.64, 0.28, 0.64, 0.06
13, 0.02, 0.62, 0.33, 0.60, 0.11
14, 0.02, 0.63, 0.30, 0.63, 0.06
15, 0.01, 0.62, 0.28, 0.65, 0.09
